;year_month;uf;product;unit;volume;created_at
49;2013-02-01;PARÁ;ÓLEO DIESEL S-10;(m3);28146.3;2022-09-12 23:11:30.887749
50;2013-03-01;PARÁ;ÓLEO DIESEL S-10;(m3);31280.5;2022-09-12 23:11:30.887749
51;2013-04-01;PARÁ;ÓLEO DIESEL S-10;(m3);33033.05;2022-09-12 23:11:30.887749
52;2013-05-01;PARÁ;ÓLEO DIESEL S-10;(m3);33519.88;2022-09-12 23:11:30.887749
53;2013-06-01;PARÁ;ÓLEO DIESEL S-10;(m3);34321.53;2022-09-12 23:11:30.887749
54;2013-07-01;PARÁ;ÓLEO DIESEL S-10;(m3);37168.16;2022-09-12 23:11:30.887749
55;2013-08-01;PARÁ;ÓLEO DIESEL S-10;(m3);41248.336;2022-09-12 23:11:30.887749
56;2013-09-01;PARÁ;ÓLEO DIESEL S-10;(m3);40913.48;2022-09-12 23:11:30.887749
57;2013-10-01;PARÁ;ÓLEO DIESEL S-10;(m3);45383.5;2022-09-12 23:11:30.887749
58;2013-11-01;PARÁ;ÓLEO DIESEL S-10;(m3);44013.219;2022-09-12 23:11:30.887749
59;2013-12-01;PARÁ;ÓLEO DIESEL S-10;(m3);41975.03;2022-09-12 23:11:30.887749
60;2013-01-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);252.5;2022-09-12 23:11:30.887749
61;2013-02-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);223.0;2022-09-12 23:11:30.887749
62;2013-03-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);348.0;2022-09-12 23:11:30.887749
63;2013-04-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);456.5;2022-09-12 23:11:30.887749
64;2013-05-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);420.0;2022-09-12 23:11:30.887749
65;2013-06-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);507.5;2022-09-12 23:11:30.887749
66;2013-07-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);488.5;2022-09-12 23:11:30.887749
67;2013-08-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);683.948;2022-09-12 23:11:30.887749
68;2013-09-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);748.0;2022-09-12 23:11:30.887749
69;2013-10-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);785.0;2022-09-12 23:11:30.887749
70;2013-11-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);891.0;2022-09-12 23:11:30.887749
71;2013-12-01;AMAPÁ;ÓLEO DIESEL S-10;(m3);757.5;2022-09-12 23:11:30.887749
72;2013-01-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);6365.0;2022-09-12 23:11:30.887749
73;2013-02-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);6800.9;2022-09-12 23:11:30.887749
74;2013-03-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);8866.4;2022-09-12 23:11:30.887749
75;2013-04-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);9866.334;2022-09-12 23:11:30.887749
76;2013-05-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);10062.5;2022-09-12 23:11:30.887749
77;2013-06-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);10839.5;2022-09-12 23:11:30.887749
78;2013-07-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);11771.7;2022-09-12 23:11:30.887749
79;2013-08-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);13840.95;2022-09-12 23:11:30.887749
