ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
2013;MAR;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;348
2013;ABR;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;456,5
2013;MAI;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;420
2013;JUN;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;507,5
2013;JUL;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;488,5
2013;AGO;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;683,948
2013;SET;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;748
2013;OUT;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;785
2013;NOV;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;891
2013;DEZ;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;757,5
2013;JAN;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;6365
2013;FEV;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;6800,9
2013;MAR;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;8866,4
2013;ABR;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;9866,334
2013;MAI;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;10062,5
2013;JUN;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;10839,5
2013;JUL;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;11771,7
2013;AGO;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;13840,95
2013;SET;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;13649,2
2013;OUT;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;16054,1
2013;NOV;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;15571,4
2013;DEZ;REGIÃO NORTE;TOCANTINS;ÓLEO DIESEL S-10;14754,1
2013;JAN;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;8896,45
2013;FEV;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;8362,806
2013;MAR;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;9988
2013;ABR;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;11424,5
2013;MAI;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;12254
2013;JUN;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;12974
2013;JUL;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;15360,307
2013;AGO;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;16496
2013;SET;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;16496,8
2013;OUT;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;19823
2013;NOV;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;19972
2013;DEZ;REGIÃO NORDESTE;MARANHÃO;ÓLEO DIESEL S-10;20304
2013;JAN;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;4048
2013;FEV;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;3317,5
2013;MAR;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;4626,5
